Topics,#Occurrences
na,1665
ni,1416
nairobi,1131
ya,1081
kenya,863
people,801
arsenal,668
life,606
god,591
kwa,499
tu,472
cc,457
road,444
thanks,412
ur,396
wa,389
home,387
city,381
night,377
game,377
smh,368
house,366
hope,362
leo,356
sasa,350
happy,344
team,335
twitter,335
kama,317
