Topics,#Occurrences
na,10234
nairobisc,10091
rndbt,9764
ni,8505
westlands,8031
rd,6949
mombasa,6916
nairobi,6770
mama,6447
ya,6424
moi,6324
st,6031
ave,5961
kenya,5934
ngina,5924
people,5062
mall,4365
waiyaki,4127
jnctn,3909
god,3615
life,3576
kwa,2998
happy,2975
cc,2824
road,2576
thanks,2536
nyayo,2439
cbd,2378
ur,2309
