Topics,#Occurrences
rt,11686
morning,6104
nairobisc,5298
rndbt,5257
na,4926
westlands,4312
day,4097
nairobi,4083
ni,3935
rd,3622
lol,3578
mombasa,3538
kenya,3452
mama,3213
moi,3168
st,3089
time,3077
ave,2984
people,2957
ngina,2950
ya,2835
god,2631
haha,2328
mall,2312
waiyaki,2179
life,2163
jnctn,1953
happy,1941
hahaha,1752
