Topics,#Occurrences
na,14150
nairobisc,14144
rndbt,13672
ni,11784
westlands,11253
rd,9669
mombasa,9662
nairobi,9067
mama,9065
ya,8878
moi,8876
st,8577
ave,8397
ngina,8335
kenya,7986
people,7010
mall,6323
waiyaki,5752
jnctn,5519
god,5387
life,4996
arsenal,4379
kwa,4037
happy,4017
cc,3942
thanks,3523
nyayo,3474
road,3419
home,3262
