Topics,#Occurrences
nairobisc,2816
rndbt,2683
westlands,2111
mombasa,1895
rd,1891
rt,1768
mama,1747
moi,1719
st,1712
ave,1709
ngina,1704
waiyaki,1121
jnctn,1093
mall,1021
na,785
lol,701
ni,693
nyayo,634
time,610
haha,523
cbd,502
exit,487
entry,475
ya,474
night,472
sleep,472
lounge,446
arsenal,433
kenya,429
