Topics,#Occurrences
rt,7604
na,3528
ni,3090
lol,2858
nairobisc,2512
ya,2404
rndbt,2320
nairobi,2286
time,2219
westlands,1970
kenya,1801
mama,1780
mombasa,1779
rd,1761
moi,1718
day,1674
haha,1629
st,1627
ave,1604
ngina,1586
people,1554
arsenal,1523
hahaha,1338
tujuane,1337
mall,1290
hehe,1167
jnctn,1095
home,1084
kwa,1075
