Topics,#Occurrences
nairobisc,1717
rndbt,1708
westlands,1418
mombasa,1155
rd,1148
na,1094
mama,1090
moi,1068
st,1050
ave,1041
ngina,1039
ni,851
nairobi,790
mall,765
waiyaki,705
jnctn,686
ya,633
kenya,612
people,416
cbd,392
nyayo,378
entry,348
exit,343
life,330
arsenal,320
god,317
ur,311
kwa,309
road,292
