Topics,#Occurrences
nairobisc,3743
rndbt,3586
westlands,2840
rd,2408
mombasa,2390
mama,2234
moi,2209
st,2204
ave,2168
ngina,2162
na,1556
waiyaki,1480
jnctn,1443
mall,1432
ni,1277
nairobi,1186
kenya,964
ya,891
nyayo,879
cbd,823
entry,714
people,711
exit,606
god,580
life,572
arsenal,560
cc,444
road,422
kwa,415
