Topics,#Occurrences
na,79
bayern,61
ni,58
makaburi,56
april,47
fools,46
nairobi,43
ya,39
god,34
kenya,34
kwa,31
people,31
happy,30
life,27
leo,27
ggmu,25
thanks,24
hope,24
wa,23
road,23
game,23
moyes,22
welbeck,21
home,20
ati,19
shot,19
yes,18
kama,18
tu,18
