Topics,#Occurrences
nairobisc,2633
rndbt,2563
na,2552
westlands,2104
ni,2068
rd,1849
mombasa,1836
kenya,1707
moi,1688
mama,1666
ya,1632
st,1590
ave,1557
ngina,1549
people,1522
nairobi,1401
christmas,1235
happy,1183
waiyaki,1116
god,1106
mall,1085
life,1025
jnctn,1011
arsenal,944
cc,790
thanks,766
hope,756
kenyaat50,734
kwa,717
