Topics,#Occurrences
na,2622
ni,2108
ya,1578
nairobi,1349
people,1296
nairobisc,1144
rndbt,1124
kenya,1008
westlands,968
mombasa,936
rd,916
god,899
life,884
happy,880
mama,814
moi,749
kwa,736
cc,731
st,698
ave,672
ngina,662
lmao,618
smh,605
tu,602
thanks,594
arsenal,589
road,565
mall,554
hii,545
