Topics,#Occurrences
na,1559
ni,1275
nairobi,1033
ya,963
kenya,704
people,670
arsenal,561
life,544
god,509
kwa,482
game,393
cc,390
happy,381
world,370
smh,370
road,359
tu,350
hii,346
wa,345
lmao,339
night,338
home,331
hope,325
thanks,312
sasa,297
city,296
team,290
kama,288
leo,281
