Topics,#Occurrences
nairobisc,4053
na,3916
rndbt,3908
ni,3279
westlands,3222
mombasa,2746
rd,2720
mama,2618
moi,2552
st,2546
ya,2454
ave,2436
ngina,2411
nairobi,2297
arsenal,2261
kenya,2052
mall,1958
people,1948
god,1772
waiyaki,1625
jnctn,1610
game,1454
life,1420
church,1152
team,1125
cc,1118
happy,1042
kwa,1039
nyayo,1035
