Topics,#Occurrences
nairobisc,3484
rndbt,3343
westlands,2628
mombasa,2150
rd,2138
mama,2102
moi,2081
st,2034
ave,2020
ngina,2007
na,1726
ni,1687
jnctn,1389
mall,1379
waiyaki,1354
ya,1119
nairobi,1113
kenya,1040
nyayo,853
people,839
cbd,764
entry,670
life,595
god,587
exit,576
kwa,497
cc,446
arsenal,441
happy,424
