Topics,#Occurrences
nairobisc,1423
rndbt,1348
na,1297
westlands,1152
kenya,1054
ni,1044
nairobi,1021
moi,969
mama,961
ya,942
rd,941
mombasa,932
st,918
westgate,917
ave,906
ngina,897
mall,878
god,764
people,724
jnctn,589
weareone,550
waiyaki,545
life,413
cc,394
thanks,384
kenyan,363
kwa,351
hope,347
home,340
