Topics,#Occurrences
rt,4432
na,2066
rndbt,1813
ni,1773
nairobisc,1769
lol,1597
westlands,1519
nairobi,1400
ya,1397
time,1219
kenya,1155
mombasa,1125
rd,1111
mama,1110
moi,1077
st,1023
ngina,982
ave,979
people,967
mall,956
haha,942
day,931
waiyaki,777
hahaha,754
lunch,720
jnctn,652
hehe,643
kwa,638
life,608
