2014-03-13,2857,-0.04410220511025551,21,16,26,0.00,72
2013-09-13,1958,-0.011235955056179775,20,15,26,0.00,62
2013-10-18,3324,-0.015342960288808664,20,14,27,0.00,51
2013-12-03,3158,-0.006016466117796073,20,16,24,0.00,76
2013-09-22,3505,-0.04365192582025677,20,16,23,0.00,87
2013-11-01,2474,0.004850444624090542,20,19,21,0.00,69
2013-12-26,3956,-0.024772497472194135,19,14,24,0.00,65
2013-11-30,3416,0.004976580796252928,20,16,23,0.00,80
2014-02-19,2876,-0.055980528511821975,22,18,26,0.00,58
2013-10-06,2658,-0.023325808878856283,20,14,25,0.00,65
2013-08-11,2246,-0.029385574354407838,18,14,22,0.00,71
2014-03-05,2204,-0.018148820326678767,22,18,27,0.00,62
2014-02-08,2623,-0.035455585207777356,22,17,26,0.00,73
2014-01-04,4054,-0.011840157868771583,21,16,26,0.00,59
2013-08-18,1880,0.0010638297872340426,18,12,25,0.00,74
2014-01-21,2239,0.0026797677534613666,22,18,26,0.00,55
2014-03-25,2695,-0.011131725417439703,22,18,27,0.00,74
2013-12-11,5254,-0.0032356299961933763,20,17,23,0.00,86
2013-11-09,2193,0.012767897856817145,21,17,25,0.00,75
2014-02-27,2105,-0.026128266033254157,21,16,26,0.00,61
2013-10-27,2484,-0.00322061191626409,20,16,25,0.00,59
2013-10-05,2670,-0.00599250936329588,20,14,25,0.00,66
2013-09-29,2670,-0.00599250936329588,22,16,27,0.00,52
2013-12-19,4203,0.0009517011658339282,19,14,24,0.00,69
2013-11-17,2067,-0.02080309627479439,22,17,26,0.00,72
2014-01-15,3762,-0.010101010101010102,18,11,25,0.00,56
2013-08-12,2580,-0.06162790697674419,18,13,22,0.00,76
2014-01-25,2146,-0.024697110904007457,,,,0.00,
2013-08-27,1912,-0.00993723849372385,16,10,22,0.00,64
2014-01-30,2581,-0.02053467648198373,22,16,27,0.00,64
2013-09-12,2027,0.010853478046373951,20,14,25,0.00,74
2013-10-19,2601,-0.002306805074971165,18,17,18,0.00,81
2013-12-04,4018,-0.016674962667994026,21,17,25,0.00,77
2013-09-21,3839,-0.04115655118520448,20,15,26,0.00,88
2014-01-13,5536,-0.026734104046242775,20,15,26,0.00,55
2013-12-27,4021,-0.03332504352151206,20,16,24,0.00,67
2013-11-25,2900,-0.007931034482758621,20,16,24,0.00,77
2014-02-18,2516,-0.01192368839427663,18,18,23,0.00,78
2014-02-11,2248,-0.009341637010676156,20,15,26,0.00,80
2013-08-19,1800,-0.0022222222222222222,19,15,23,0.00,76
2014-01-22,2743,-0.016769959897921984,20,15,25,0.00,66
2013-09-04,2552,-0.01567398119122257,18,11,26,0.00,58
2014-03-15,2519,-0.026597856292179436,20,15,24,0.00,82
2013-12-12,5480,-0.008941605839416058,18,15,20,0.00,91
2014-03-29,3168,-0.017361111111111112,22,18,26,0.00,59
2013-11-08,2528,0.00870253164556962,21,19,23,0.00,70
2013-10-10,2933,0.007159904534606206,20,15,25,0.00,69
2014-02-26,2058,-0.037900874635568516,20,16,24,0.00,68
2013-08-28,1976,-0.005566801619433198,17,13,21,0.00,70
2013-09-18,2237,0.008046490835940992,18,12,24,0.00,83
2014-04-02,20,0.1,22,17,26,0.00,71
2013-10-24,2860,-0.010839160839160839,22,17,26,0.00,64
2013-09-28,2860,-0.010839160839160839,20,15,26,0.00,61
